,cut,color,clarity,depth,carat,table,x,y,z,price
21244,Ideal,G,VS1,61.7,0.54,56.0,5.22,5.25,3.23,1809
21245,Good,E,VVS1,60.3,0.54,61.0,5.3,5.32,3.2,2697
21246,Premium,G,VVS2,61.6,1.07,57.0,6.59,6.55,4.05,7593
21247,Premium,H,SI1,62.3,1.0,60.0,6.38,6.34,3.96,4788
21248,Very Good,F,VS2,59.5,0.62,63.0,5.54,5.49,3.28,1832
21249,Premium,H,SI2,61.2,1.0,59.0,6.42,6.38,3.92,3920
21250,Ideal,G,IF,62.3,0.3,54.0,4.32,4.35,2.7,863
21251,Premium,G,VS2,62.4,0.52,56.0,5.19,5.16,3.23,1577
21252,Ideal,G,SI1,60.7,0.7,55.0,5.76,5.8,3.51,2744
21253,Good,J,VS1,63.4,0.3,55.0,4.25,4.3,2.71,394
21254,Ideal,E,SI2,62.1,0.76,56.0,5.85,5.88,3.64,2978
21255,Ideal,E,VS2,61.7,0.3,55.0,4.3,4.32,2.66,658
21256,Fair,E,SI1,56.9,0.31,66.0,4.53,4.47,2.56,579
21257,Ideal,D,VS2,62.5,0.71,55.0,5.74,5.71,3.58,3161
21258,Ideal,I,I1,61.9,1.2,56.0,6.82,6.85,4.23,3505
21259,Ideal,G,IF,62.1,0.3,57.0,4.27,4.29,2.66,863
21260,Ideal,D,VVS2,62.2,0.4,55.0,4.74,4.72,2.94,1323
21261,Very Good,G,VS1,62.4,0.9,58.0,6.14,6.16,3.84,4297
21262,Very Good,G,VS2,63.3,0.7,56.0,5.63,5.59,3.55,2657
21263,Premium,E,VS1,61.5,0.4,58.0,4.73,4.76,2.92,800
21264,Ideal,D,SI1,63.0,1.44,55.0,7.23,7.18,4.54,10725
21265,Ideal,H,SI1,60.7,0.34,56.0,4.52,4.58,2.76,490
21266,Good,E,VS1,59.5,0.32,64.0,4.42,4.45,2.64,756
21267,Ideal,F,VS1,61.1,0.71,57.0,5.76,5.82,3.54,3013
21268,Ideal,E,VS2,62.1,0.32,56.0,4.43,4.4,2.74,900
21269,Ideal,E,SI1,61.7,0.71,56.0,5.72,5.75,3.54,2663
21270,Ideal,I,VS2,62.4,2.33,57.0,8.52,8.47,5.31,15073
21271,Ideal,H,VVS1,62.8,0.42,57.0,4.79,4.79,3.01,1108
21272,Ideal,F,VVS1,60.8,0.54,56.0,5.28,5.34,3.23,2356
21273,Ideal,F,SI2,61.3,2.02,57.0,8.11,8.16,4.99,16290
21274,Ideal,I,VVS2,61.6,0.31,57.0,4.35,4.39,2.69,544
21275,Very Good,G,VS1,59.4,0.42,59.0,4.86,4.9,2.9,921
21276,Premium,H,SI1,61.6,0.77,60.0,5.91,5.87,3.59,2457
21277,Premium,I,VS2,62.3,0.31,60.0,4.31,4.32,2.69,435
21278,Ideal,F,VS1,62.0,1.25,55.0,6.91,6.95,4.3,9586
21279,Premium,I,VS2,61.8,0.38,59.0,4.61,4.64,2.86,633
21280,Ideal,J,VVS2,62.6,1.52,58.0,7.32,7.34,4.59,9541
21281,Ideal,D,VS2,62.1,0.51,56.0,5.11,5.16,3.19,1787
21282,Premium,H,VS1,62.3,0.43,58.0,4.81,4.75,2.98,1113
21283,Ideal,F,SI1,62.4,1.31,57.0,6.96,6.88,4.32,8227
21284,Good,H,SI1,64.0,0.71,61.0,5.61,5.54,3.57,2207
21285,Premium,H,VS1,60.8,1.55,60.0,7.54,7.5,4.57,8593
21286,Premium,F,SI2,62.3,0.71,60.0,5.7,5.67,3.54,2169
21287,Ideal,G,VS2,61.9,1.51,57.0,7.37,7.3,4.54,13115
21288,Good,E,VS2,61.2,1.01,62.0,6.34,6.38,3.89,5972
21289,Premium,G,VS2,61.5,0.31,60.0,4.34,4.31,2.66,698
21290,Ideal,F,SI1,62.7,1.62,56.0,7.5,7.44,4.68,12828
21291,Premium,F,VS1,60.0,0.34,59.0,4.59,4.55,2.74,725
21292,Ideal,D,VS2,61.7,0.57,57.0,5.3,5.33,3.28,1865
21293,Premium,G,VVS2,61.3,1.34,58.0,7.16,7.1,4.37,11118
21294,Very Good,F,VS1,60.4,0.4,61.0,4.74,4.77,2.87,982
21295,Premium,G,SI2,62.2,2.11,60.0,8.19,8.15,5.08,16336
21296,Very Good,I,VS1,63.0,1.51,59.0,7.28,7.3,4.59,9343
21297,Very Good,G,VVS2,62.3,0.92,57.0,6.19,6.27,3.88,5183
21298,Ideal,E,VS1,61.6,0.37,54.0,4.6,4.65,2.86,858
21299,Ideal,F,IF,60.7,0.35,57.0,4.6,4.56,2.78,1073
21301,Very Good,E,VS1,59.6,0.52,58.0,5.21,5.26,3.12,1767
21302,Premium,F,VS2,61.9,0.9,55.0,6.25,6.23,3.86,4536
21303,Premium,G,VS1,62.8,1.01,59.0,6.37,6.34,3.99,6618
21304,Ideal,G,VS2,62.6,0.33,57.0,4.45,4.47,2.79,579
21305,Premium,H,IF,60.8,0.31,59.0,4.36,4.39,2.66,739
21306,Ideal,F,VS2,61.8,0.41,56.0,4.8,4.78,2.96,1107
21307,Premium,G,SI2,62.3,1.02,58.1,6.41,6.38,4.0,3822
21308,Ideal,G,SI2,61.6,0.38,55.0,4.64,4.68,2.87,602
21309,Very Good,D,VVS2,60.4,0.26,59.0,4.15,4.19,2.52,597
21310,Fair,G,VS2,65.9,0.35,54.0,5.57,5.53,3.66,1415
21311,Ideal,E,VVS2,61.0,0.57,57.0,5.37,5.36,3.27,2507
21312,Fair,E,SI1,65.6,0.92,57.0,6.1,6.07,3.99,3407
21313,Ideal,G,VVS1,60.0,0.36,56.0,4.66,4.69,2.81,892
21314,Ideal,J,SI2,63.2,1.23,58.0,6.82,6.74,4.29,5083
21315,Ideal,G,VVS2,61.1,0.41,55.0,4.8,4.83,2.94,1007
21316,Ideal,F,VS1,62.7,0.46,56.0,4.91,4.94,3.09,1418
21317,Very Good,G,VS2,62.6,0.52,58.0,5.08,5.11,3.19,1423
21318,Premium,I,VS2,59.8,0.31,60.0,4.42,4.38,2.63,558
21319,Good,H,VS2,63.1,0.37,55.0,4.59,4.63,2.91,584
21320,Ideal,G,VS1,62.4,0.31,55.0,4.35,4.33,2.71,802
21321,Good,E,VVS2,62.7,0.29,61.0,4.2,4.22,2.64,633
21322,Premium,D,SI1,62.7,0.3,60.0,4.26,4.23,2.66,709
21323,Ideal,H,IF,62.2,0.43,55.0,4.87,4.84,3.02,1304
21324,Premium,G,VS1,61.2,1.01,58.0,6.47,6.33,3.92,6335
21325,Ideal,H,VS2,62.0,1.19,54.0,6.79,6.83,4.22,7633
21326,Very Good,J,SI1,61.4,1.8,55.0,7.86,7.8,4.81,10107
21327,Premium,H,VS2,62.7,1.3,58.0,7.01,6.97,4.38,5824
21328,Very Good,I,VS2,61.6,1.51,57.0,7.28,7.34,4.5,9185
21329,Ideal,I,VVS1,61.9,1.58,55.0,7.47,7.51,4.64,11435
21330,Ideal,F,VVS2,61.5,0.63,56.0,5.48,5.52,3.38,2817
21331,Ideal,G,VS2,62.0,0.51,56.0,5.11,5.18,3.19,1343
21332,Ideal,G,VVS2,60.6,1.59,59.0,7.53,7.59,4.58,15843
21333,Good,H,VVS1,64.3,0.9,59.0,6.04,6.09,3.9,4381
21334,Ideal,I,SI2,62.1,1.14,55.0,6.71,6.72,4.17,4276
21335,Fair,G,I1,65.2,0.5,56.0,4.95,4.89,3.21,727
21336,Good,F,VS2,63.2,0.32,58.0,4.32,4.35,2.74,645
21337,Ideal,D,VS1,62.5,0.51,57.0,5.08,5.13,3.19,1779
21338,Very Good,F,VS1,62.7,1.36,60.0,7.05,7.02,4.41,11946
21339,Premium,D,SI1,62.3,1.22,60.0,6.84,6.8,4.25,5739
21340,Premium,D,VS2,61.2,0.31,59.0,4.37,4.32,2.66,942
21341,Very Good,F,SI1,63.3,0.55,58.0,5.21,5.18,3.29,1449
21342,Ideal,G,VS2,62.4,1.25,55.0,6.93,6.86,4.3,9030
21343,Premium,E,SI2,61.4,0.65,59.0,5.57,5.52,3.41,1640
21344,Very Good,G,VS2,59.0,0.9,58.0,6.25,6.29,3.7,3910
21345,Fair,H,SI2,64.9,2.01,56.0,7.88,7.81,5.09,10184
21346,Premium,H,VS2,62.7,1.22,58.0,6.77,6.73,4.23,5930
21347,Ideal,E,VVS2,62.0,0.59,55.0,5.36,5.41,3.34,2643
21348,Good,G,VS2,63.1,0.72,57.0,5.71,5.74,3.61,2708
21349,Very Good,E,VVS2,61.3,0.72,60.0,5.73,5.76,3.52,3495
21350,Premium,G,SI1,60.7,0.31,60.0,4.36,4.34,2.64,593
21351,Very Good,H,SI2,62.3,2.12,59.0,8.15,8.19,5.09,16151
21352,Very Good,G,VVS2,59.4,1.01,58.0,6.51,6.53,3.93,7234
21353,Fair,E,SI2,65.8,1.5,57.0,7.17,7.11,4.7,7459
21354,Very Good,H,SI1,62.2,0.87,57.0,6.05,6.11,3.78,3180
21355,Ideal,G,VS1,61.4,0.4,55.0,4.77,4.78,2.93,1087
21356,Premium,G,VS1,60.9,1.01,58.0,6.47,6.43,3.93,6882
21357,Ideal,F,VVS1,62.4,1.02,56.0,6.44,6.42,4.01,9645
21358,Ideal,I,VVS1,62.2,0.43,57.0,4.84,4.81,3.0,968
21359,Ideal,E,VVS2,61.6,0.7,56.0,5.72,5.75,3.53,4205
21360,Good,J,SI1,64.3,2.01,54.0,8.05,7.95,5.14,8104
21361,Ideal,E,VS2,61.8,0.41,57.0,4.76,4.78,2.95,935
21362,Ideal,G,VVS2,61.4,0.5,57.0,5.13,5.1,3.14,1935
21363,Premium,G,VS2,60.1,1.04,59.0,6.56,6.59,3.95,6589
21364,Very Good,G,VS2,62.3,1.07,57.0,6.56,6.47,4.06,6274
21365,Ideal,G,VVS2,61.4,0.43,55.0,4.88,4.83,2.98,1129
21366,Ideal,E,SI1,61.9,1.21,57.0,6.88,6.79,4.23,7424
21367,Premium,H,VS2,62.6,0.82,59.0,5.99,5.93,3.73,2939
21368,Premium,H,VS1,59.3,1.25,57.0,7.11,7.05,4.2,7560
21369,Ideal,E,IF,60.9,0.31,55.0,4.39,4.41,2.68,987
21370,Premium,H,SI1,59.8,0.76,57.0,5.93,5.91,3.54,2227
21371,Premium,F,VS2,61.5,1.5,58.0,7.32,7.34,4.51,14586
21372,Very Good,I,VS2,61.5,0.38,58.0,4.61,4.62,2.84,633
21373,Ideal,E,SI1,62.2,0.57,55.0,5.37,5.31,3.32,1613
21374,Good,H,SI1,62.1,0.9,61.0,6.07,6.11,3.78,3447
21375,Premium,H,SI1,62.4,1.0,59.0,6.42,6.37,3.99,4816
21376,Good,I,VS1,63.1,0.7,57.0,5.59,5.67,3.55,2390
21377,Premium,F,SI1,60.6,0.42,61.0,4.87,4.83,2.94,926
21378,Very Good,E,VS2,61.8,0.51,58.0,5.13,5.07,3.15,1640
21379,Good,G,VS2,63.1,1.0,61.0,6.33,6.38,4.01,5702
21380,Very Good,D,SI2,60.2,0.92,61.0,6.27,6.32,3.79,3057
21381,Ideal,E,VVS1,60.9,1.15,56.0,6.79,6.8,4.14,12447
21382,Ideal,F,VS1,61.3,0.32,56.0,4.4,4.44,2.71,702
21383,Fair,F,VS2,66.7,1.0,57.0,6.11,6.04,4.05,4732
21384,Premium,H,VS1,60.6,0.34,60.0,4.49,4.45,2.71,765
21385,Premium,D,VS2,62.4,0.41,60.0,4.75,4.71,2.95,1076
21386,Ideal,G,VS2,62.6,0.59,54.0,5.32,5.38,3.35,1664
21387,Ideal,I,SI2,62.8,1.16,57.0,6.8,6.64,4.22,3605
21388,Premium,J,SI2,59.7,1.31,59.0,7.06,7.01,4.2,3697
21389,Premium,F,VS2,62.6,0.99,55.0,6.5,6.35,4.02,5893
21390,Premium,J,VS2,62.0,1.25,59.0,6.9,6.87,4.27,5264
21391,Ideal,D,SI2,61.9,1.25,54.4,6.9,6.93,4.28,6779
21392,Premium,H,VS2,62.9,1.4,55.0,7.15,7.06,4.47,8847
21393,Very Good,H,VVS1,60.1,0.25,62.0,4.08,4.11,2.46,450
21394,Premium,F,VS1,60.2,1.5,59.0,7.41,7.37,4.45,16783
21395,Ideal,H,VS2,62.6,0.54,57.0,5.24,5.2,3.27,1389
21396,Premium,G,VS1,61.5,0.73,58.0,5.79,5.75,3.55,2770
21397,Very Good,J,SI2,62.8,1.24,58.0,6.77,6.83,4.27,4789
21398,Very Good,G,VS1,62.8,0.4,56.0,4.67,4.7,2.94,877
21399,Premium,F,SI1,61.3,0.43,60.0,4.83,4.86,2.97,792
21400,Very Good,F,SI1,62.2,0.4,57.0,4.67,4.72,2.92,737
21401,Ideal,I,VVS1,61.7,0.57,56.0,5.31,5.35,3.29,1608
21402,Good,D,VVS1,59.2,0.44,57.0,4.96,5.0,2.95,2250
21403,Very Good,E,SI1,61.1,0.52,62.0,5.16,5.18,3.16,1343
21404,Premium,G,VS2,59.8,0.41,61.0,4.82,4.78,2.87,1061
21405,Very Good,D,IF,61.7,1.02,59.0,6.42,6.52,3.99,17100
21406,Ideal,F,VS1,61.3,0.41,57.0,4.79,4.77,2.93,1076
21407,Very Good,E,SI2,58.6,0.91,63.0,6.32,6.38,3.72,3015
21408,Ideal,D,VS2,62.5,0.3,54.0,4.32,4.29,2.69,911
21409,Very Good,F,SI2,60.8,1.01,63.0,6.32,6.38,3.86,3945
21410,Very Good,D,SI2,63.5,1.15,58.0,6.73,6.69,4.26,4939
21411,Premium,G,SI1,62.6,0.41,59.0,4.72,4.77,2.97,719
21412,Ideal,F,SI1,60.1,0.56,58.0,5.36,5.39,3.23,1394
21413,Good,E,VS2,58.7,0.7,63.0,5.69,5.73,3.35,2912
21414,Ideal,H,VS1,62.1,0.3,56.0,4.28,4.32,2.67,545
21415,Good,H,VS2,63.5,0.3,59.0,4.2,4.27,2.69,473
21416,Premium,G,VS2,61.7,0.32,60.0,4.32,4.4,2.69,561
21417,Ideal,D,SI1,62.5,0.56,56.0,5.28,5.24,3.29,1729
21418,Premium,E,SI2,59.3,0.76,62.0,6.01,5.96,3.55,2329
21419,Premium,D,VS2,62.8,0.52,58.0,5.14,5.11,3.22,1842
21420,Premium,D,SI2,60.2,0.72,56.0,5.85,5.82,3.51,2492
21421,Very Good,E,VVS2,62.0,0.28,56.0,4.22,4.3,2.63,544
21422,Ideal,I,VS2,61.5,1.57,56.0,7.56,7.49,4.63,10093
21423,Ideal,E,SI1,61.1,0.44,56.0,4.9,4.92,3.0,810
21424,Ideal,G,VVS2,61.6,0.52,56.0,5.18,5.15,3.18,1878
21425,Ideal,D,SI1,62.3,0.35,55.0,4.56,4.52,2.83,827
21426,Very Good,D,SI1,61.7,0.31,59.0,4.31,4.35,2.67,571
21427,Premium,H,VS1,60.0,0.3,60.0,4.4,4.3,2.61,576
21428,Ideal,E,VS2,62.3,0.3,56.0,4.3,4.34,2.69,658
21429,Very Good,F,SI1,63.3,0.42,56.0,4.79,4.75,3.02,926
21430,Premium,J,VS1,60.1,1.23,60.0,6.9,6.95,4.16,5209
21431,Very Good,J,VS1,62.6,0.6,56.0,5.37,5.41,3.37,1378
21432,Very Good,H,SI2,63.2,0.79,55.0,5.93,5.9,3.74,2348
21433,Ideal,E,VS2,62.7,1.58,56.0,7.45,7.55,4.7,15579
21434,Ideal,D,VVS1,61.9,0.56,56.0,5.28,5.32,3.28,3465
21435,Very Good,D,VS2,63.2,1.11,57.0,6.64,6.61,4.18,8006
21436,Ideal,G,VVS2,61.5,0.31,56.0,4.38,4.4,2.7,687
21437,Very Good,G,VS1,62.8,1.06,54.0,6.5,6.56,4.1,6663
21438,Premium,E,VS2,61.1,1.04,59.0,6.56,6.54,4.0,7175
21439,Ideal,F,SI2,62.3,0.33,55.0,4.44,4.49,2.78,450
21440,Good,I,SI1,63.5,0.31,56.0,4.28,4.32,2.73,408
21441,Good,H,SI1,63.7,0.72,59.0,5.68,5.63,3.6,2398
21442,Ideal,D,VS2,60.6,1.01,57.0,6.54,6.46,3.94,7602
21443,Ideal,I,VS1,62.0,1.07,53.0,6.61,6.62,4.1,5373
21444,Very Good,F,VS2,60.8,1.54,58.0,7.43,7.56,4.56,13735
21445,Ideal,I,IF,61.9,0.36,54.0,4.57,4.6,2.84,735
21446,Premium,G,VVS1,61.2,0.7,56.0,5.75,5.68,3.5,3105
21447,Premium,F,VS1,61.4,0.51,58.0,5.18,5.15,3.17,1836
21448,Ideal,D,SI1,62.1,0.3,54.0,4.35,4.31,2.69,709
21449,Very Good,E,VS2,62.8,0.34,58.0,4.43,4.45,2.79,745
21450,Very Good,E,VVS1,62.2,1.02,57.0,6.4,6.59,4.04,10672
21451,Ideal,I,VVS2,62.2,0.3,56.0,4.27,4.31,2.67,515
21452,Ideal,J,VS2,59.8,0.9,56.0,6.27,6.24,3.74,3105
21453,Premium,E,SI2,59.1,1.1,60.0,6.77,6.7,3.98,4967
21454,Premium,G,VS1,61.8,0.31,59.0,4.35,4.32,2.68,802
21455,Ideal,G,VS1,61.9,1.2,58.0,6.76,6.8,4.2,9625
21456,Ideal,E,VVS1,60.7,0.59,57.0,5.41,5.45,3.29,3422
21457,Ideal,F,VVS2,61.8,0.33,54.0,4.47,4.5,2.77,761
21458,Premium,D,SI1,59.6,0.36,58.0,4.61,4.65,2.76,663
21459,Good,F,VS2,62.8,0.55,63.0,5.13,5.19,3.24,1563
21460,Ideal,F,VS1,61.2,0.3,57.0,4.32,4.34,2.65,621
21461,Ideal,H,VVS2,62.1,0.38,54.0,4.62,4.66,2.88,898
21462,Ideal,F,VS2,61.9,1.38,55.0,7.16,7.12,4.42,11205
21463,Very Good,D,VS1,63.9,0.35,55.0,4.49,4.53,2.88,792
21464,Very Good,E,SI1,62.9,0.51,55.0,5.06,5.12,3.2,1284
21465,Ideal,E,VVS1,61.5,1.13,56.0,6.68,6.71,4.12,11641
21466,Very Good,E,VS1,59.6,1.06,60.0,6.68,6.75,4.0,8219
21467,Premium,D,SI1,61.0,0.43,58.0,4.88,4.83,2.96,993
21468,Ideal,J,VS2,62.1,1.75,56.0,7.74,7.69,4.79,9890
21469,Ideal,G,VS2,60.8,0.34,56.0,4.53,4.55,2.76,616
21470,Premium,F,VS2,61.4,1.71,60.0,7.72,7.62,4.71,17766
21471,Ideal,I,VVS1,62.5,0.42,57.0,4.8,4.77,2.99,945
21472,Premium,G,SI1,63.0,1.01,58.0,6.35,6.29,3.98,4525
21473,Ideal,D,SI1,62.9,0.32,56.0,4.4,4.38,2.76,706
21474,Very Good,F,SI2,61.6,0.91,59.0,6.14,6.24,3.81,3653
21475,Ideal,I,SI1,61.3,1.63,56.0,7.64,7.56,4.66,9694
21476,Premium,E,SI2,61.0,1.21,58.0,6.93,6.88,4.21,4933
21477,Ideal,I,VS1,60.7,0.74,55.0,5.84,5.88,3.56,2609
21478,Ideal,G,SI2,62.7,0.74,56.0,5.75,5.8,3.62,2423
21479,Ideal,E,SI2,61.9,1.09,55.0,6.6,6.64,4.1,5035
21480,Ideal,I,SI1,62.0,0.52,54.0,5.17,5.19,3.21,1019
21481,Premium,I,VS2,61.3,1.2,60.0,6.79,6.75,4.15,4131
21482,Very Good,H,SI1,60.9,1.15,57.0,6.72,6.8,4.12,5047
21483,Very Good,D,SI1,62.8,0.34,58.0,4.44,4.48,2.8,626
21484,Good,G,SI2,64.2,2.0,60.0,7.89,7.81,5.04,9999
21485,Very Good,F,SI1,62.3,1.09,57.0,6.55,6.61,4.1,5570
21486,Ideal,G,VS2,62.4,1.2,54.7,6.79,6.85,4.25,8040
21487,Ideal,D,VS2,61.6,0.51,56.0,5.17,5.15,3.18,1882
21488,Very Good,E,SI2,59.0,1.54,62.0,7.56,7.59,4.47,7877
21489,Ideal,D,VS1,60.7,0.34,57.0,4.51,4.55,2.75,749
21490,Premium,G,SI1,62.4,1.7,59.0,7.63,7.57,4.74,9777
21491,Good,H,SI2,64.1,1.31,57.0,6.9,6.84,4.41,5429
21492,Very Good,F,VS2,61.4,1.09,54.0,6.66,6.7,4.1,6990
21493,Very Good,I,VS2,63.2,0.77,58.0,5.79,5.85,3.68,2513
21494,Ideal,F,SI1,62.2,0.52,54.0,5.19,5.23,3.24,1223
21495,Premium,F,SI1,62.0,1.51,57.0,7.36,7.28,4.54,8033
21496,Very Good,G,SI2,61.6,0.83,57.0,6.02,6.06,3.72,2725
21497,Very Good,D,SI2,60.8,0.5,55.0,5.14,5.16,3.13,1306
21498,Premium,E,SI1,59.4,0.6,60.0,5.57,5.51,3.29,1771
21499,Very Good,E,I1,62.4,0.9,63.0,6.13,6.01,3.79,2245
21500,Very Good,J,VS2,60.9,1.73,59.0,7.72,7.76,4.71,9510
21501,Very Good,H,SI1,60.3,1.02,59.0,6.44,6.5,3.9,4476
21502,Very Good,H,VS1,62.5,1.07,56.0,6.52,6.55,4.08,6262
21503,Ideal,E,SI2,62.2,1.01,56.0,6.42,6.45,4.0,4788
21504,Ideal,D,SI1,62.7,0.52,56.0,5.14,5.17,3.23,1600
21505,Premium,J,SI2,61.8,1.01,60.0,6.37,6.41,3.95,3499
21506,Ideal,F,SI2,61.5,0.46,54.0,4.98,5.01,3.07,758
21507,Ideal,D,VVS2,62.7,1.2,56.0,6.78,6.81,4.26,13165
21508,Premium,G,SI1,59.6,1.01,58.0,6.61,6.54,3.92,5034
21509,Premium,F,SI1,59.9,0.97,59.0,6.39,6.36,3.82,4726
21510,Ideal,G,SI1,61.2,1.56,56.0,7.51,7.49,4.59,11628
21511,Very Good,F,SI1,63.1,0.46,56.0,4.9,4.87,3.08,1006
21512,Ideal,D,VS2,62.7,0.52,53.0,5.14,5.17,3.23,1822
21514,Ideal,G,SI1,62.5,0.71,57.0,5.72,5.64,3.55,2215
21515,Premium,F,SI2,59.3,0.72,57.0,5.89,5.85,3.48,2364
21516,Very Good,F,SI2,62.4,0.9,59.0,6.12,6.16,3.83,3519
21517,Premium,H,IF,62.0,0.33,58.0,4.42,4.39,2.73,1114
21518,Premium,E,SI1,62.3,0.31,56.0,4.4,4.37,2.73,698
21519,Very Good,G,VVS1,59.4,0.25,63.0,4.07,4.11,2.43,457
21520,Very Good,E,VS2,62.5,0.41,56.0,4.75,4.79,2.98,960
21521,Good,E,SI1,63.1,0.9,61.0,6.14,6.18,3.89,4165
21522,Ideal,H,I1,62.6,1.7,54.1,7.58,7.63,4.77,7068
21523,Premium,H,SI1,59.9,1.28,59.0,7.08,7.05,4.23,6701
21524,Very Good,F,IF,60.2,0.38,58.0,4.73,4.7,2.84,1284
21525,Very Good,J,SI2,62.5,1.64,58.0,7.48,7.56,4.7,7409
21526,Very Good,H,VS2,61.8,0.5,63.0,5.05,5.08,3.13,1074
21527,Premium,F,SI2,60.3,0.41,58.0,4.86,4.82,2.92,907
21528,Ideal,E,SI2,62.0,0.81,55.0,6.0,5.96,3.71,2559
21529,Premium,H,VS2,62.2,0.7,58.0,5.69,5.72,3.55,2074
21530,Ideal,I,VS1,63.1,0.54,55.0,5.18,5.22,3.27,1453
21531,Premium,I,SI1,58.1,1.52,62.0,7.61,7.56,4.41,8852
21532,Ideal,H,VS1,62.6,1.22,56.0,6.83,6.87,4.29,8167
21533,Ideal,G,IF,60.6,0.29,57.0,4.28,4.31,2.6,673
21534,Very Good,F,SI2,62.6,0.46,58.0,4.88,4.96,3.08,815
21535,Ideal,G,VVS1,61.4,0.3,56.0,4.34,4.32,2.66,945
21536,Premium,I,SI1,62.1,1.39,57.0,7.22,7.08,4.44,6694
21537,Premium,G,VS2,62.0,0.53,58.0,5.21,5.18,3.22,1607
21538,Very Good,F,VVS2,63.2,0.54,54.0,5.2,5.18,3.28,2115
21539,Premium,G,SI1,60.4,1.51,58.0,7.46,7.38,4.48,10655
21540,Premium,G,VS2,61.2,1.79,58.0,7.9,7.82,4.81,17358
21541,Ideal,F,VVS1,62.1,0.32,56.0,4.39,4.43,2.74,926
21542,Premium,D,SI2,62.7,0.41,58.0,4.78,4.75,2.99,876
21543,Ideal,H,SI1,62.1,0.5,58.0,5.04,5.07,3.14,1140
21544,Premium,F,SI2,60.0,1.02,60.0,6.57,6.53,3.93,4284
21545,Good,H,SI1,63.7,1.2,58.0,6.72,6.68,4.27,5779
21546,Premium,F,VS2,59.7,0.31,60.0,4.39,4.42,2.63,625
21547,Ideal,F,VS2,62.1,0.56,57.0,5.28,5.29,3.28,1723
21548,Premium,H,SI2,60.9,0.41,60.0,4.84,4.81,2.94,649
21549,Premium,H,VS2,61.3,1.55,61.0,7.46,7.39,4.55,11708
21550,Premium,D,VS1,62.1,1.12,57.0,6.68,6.65,4.14,8633
21551,Ideal,H,VVS2,61.3,0.3,57.0,4.33,4.31,2.65,776
21552,Premium,I,SI1,63.0,2.18,58.0,8.23,8.17,5.22,13263
21553,Premium,F,SI1,62.3,1.02,58.0,6.46,6.38,4.0,5398
21554,Premium,E,VS2,62.1,1.05,58.0,6.5,6.54,4.05,6930
21555,Very Good,D,SI1,60.2,0.42,58.0,4.85,4.89,2.93,723
21556,Premium,G,SI2,60.1,1.34,61.0,7.11,7.06,4.26,4953
21557,Premium,H,SI2,60.2,1.28,58.0,7.13,7.03,4.26,6093
21558,Ideal,D,VVS2,62.3,0.32,54.0,4.42,4.44,2.76,841
21559,Premium,I,SI1,62.5,1.55,60.0,7.33,7.35,4.59,8866
21560,Very Good,J,VS1,62.7,0.74,58.0,5.75,5.8,3.62,2170
21561,Ideal,E,VS2,61.8,0.31,54.0,4.37,4.34,2.69,872
21562,Very Good,H,SI1,62.9,0.3,58.0,4.22,4.24,2.66,421
21563,Ideal,D,I1,62.5,0.34,57.0,4.47,4.49,2.8,413
21564,Ideal,D,VS1,61.3,0.54,56.0,5.3,5.27,3.24,2378
21565,Ideal,D,SI1,61.8,0.42,57.0,4.81,4.77,2.96,1040
21566,Very Good,D,SI1,62.8,0.9,59.0,6.14,6.18,3.87,4693
21567,Very Good,D,SI1,63.2,0.91,59.0,6.11,6.14,3.87,4466
21568,Ideal,E,VS2,60.0,0.53,57.0,5.24,5.3,3.16,1721
21569,Very Good,J,SI1,63.2,0.51,56.0,5.06,5.1,3.21,977
21570,Very Good,D,VS1,63.4,0.71,55.0,5.69,5.61,3.58,2841
21571,Premium,H,SI2,62.6,1.52,60.0,7.34,7.3,4.58,6086
21572,Premium,F,SI2,59.3,0.86,62.0,6.36,6.22,3.73,2818
21573,Premium,J,IF,62.1,1.61,58.0,7.47,7.53,4.66,10165
21574,Very Good,D,SI1,61.8,0.7,55.0,5.73,5.76,3.55,2726
21575,Very Good,E,VVS2,60.5,0.72,55.0,5.82,5.85,3.53,3798
21576,Good,G,VS2,63.3,0.32,54.0,4.36,4.39,2.77,561
21577,Very Good,F,SI1,59.9,0.58,58.0,5.35,5.4,3.22,1401
21578,Premium,E,SI2,62.6,0.56,59.0,5.24,5.2,3.27,1297
21579,Premium,I,I1,62.7,3.01,58.0,9.1,8.97,5.67,8040
21580,Very Good,H,SI1,62.7,0.7,56.0,5.6,5.62,3.52,2107
21581,Premium,H,VS1,62.9,1.37,58.0,7.12,7.07,4.46,8669
21582,Ideal,F,SI2,61.7,1.01,56.0,6.43,6.47,3.98,5154
21583,Ideal,E,VVS1,61.9,0.32,55.0,4.41,4.38,2.72,1020
21584,Ideal,H,SI2,61.7,0.41,56.0,4.8,4.77,2.95,787
21585,Premium,F,SI1,62.6,0.92,59.0,6.19,6.23,3.89,3749
21586,Premium,D,VVS1,60.0,0.46,59.0,5.04,5.0,3.01,1947
21587,Very Good,D,SI1,60.6,0.5,59.0,5.08,5.12,3.09,1376
21588,Premium,E,SI2,61.6,0.91,60.0,6.14,6.1,3.77,3846
21589,Premium,I,SI2,60.3,0.71,58.0,5.78,5.72,3.47,1917
21590,Very Good,H,VVS2,62.9,0.32,57.0,4.36,4.39,2.75,645
21591,Ideal,G,VS1,62.5,1.14,56.0,6.69,6.66,4.17,7255
